filename,duration,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfccs_mean1,mfccs_var1,mfccs_mean2,mfccs_var2,mfccs_mean3,mfccs_var3,mfccs_mean4,mfccs_var4,mfccs_mean5,mfccs_var5,mfccs_mean6,mfccs_var6,mfccs_mean7,mfccs_var7,mfccs_mean8,mfccs_var8,mfccs_mean9,mfccs_var9,mfccs_mean10,mfccs_var10,mfccs_mean11,mfccs_var11,mfccs_mean12,mfccs_var12,mfccs_mean13,mfccs_var13,mfccs_mean14,mfccs_var14,mfccs_mean15,mfccs_var15,mfccs_mean16,mfccs_var16,mfccs_mean17,mfccs_var17,mfccs_mean18,mfccs_var18,mfccs_mean19,mfccs_var19,mfccs_mean20,mfccs_var20
.\wav-Data\Blues\Blues\(Sittin On) The Dock Of The Bay.wav,166.97469387755103,0.32180050015449524,0.11177190393209457,0.06796639412641525,0.002328766044229269,542.883827886199,41242.46078526304,601.1964605725686,70554.29813234787,941.7812258303497,178692.40038262957,0.03203402000486652,0.00047532203626257484,-3.7816266740264837e-06,0.0061551048420369625,-4.390556568978354e-06,0.0002366510743740946,103.359375,-364.31695556640625,10350.533203125,167.5928497314453,4066.558837890625,-1.443394660949707,374.14605712890625,8.080092430114746,167.13902282714844,16.72502899169922,158.94088745117188,-4.229084491729736,117.43119049072266,-3.6042962074279785,85.34656524658203,-5.4654693603515625,53.26890182495117,-14.492080688476562,93.88733673095703,-15.968180656433105,77.48448181152344,-10.502697944641113,60.18000030517578,-7.803655624389648,63.39491653442383,-8.241939544677734,68.38504791259766,-9.964062690734863,46.54404067993164,-9.655131340026855,48.66141891479492,-6.682174205780029,58.72360610961914,-4.411225318908691,79.41825866699219,-1.895370364189148,92.42764282226562,-1.2103776931762695,139.34791564941406,-1.9786481857299805,92.25634765625
.\wav-Data\Blues\Blues\A Breeze From Alabama.wav,254.72290249433107,0.2638745903968811,0.08981368690729141,0.1843736618757248,0.0032250816002488136,813.1207815559071,36493.78816825944,1020.3780449091212,74230.98583989867,1298.171869392176,165488.3200680816,0.04297417979787622,0.00017991009570729344,-4.490918570354552e-07,0.03257372975349426,-5.071803116152296e-06,0.001174646895378828,161.4990234375,-208.38217163085938,5877.7119140625,173.21022033691406,761.4090576171875,-13.45617961883545,148.2225341796875,27.175216674804688,157.0965576171875,-9.277144432067871,161.5594940185547,-7.463129997253418,108.72504425048828,-13.051239013671875,107.78429412841797,-5.371602535247803,106.32869720458984,-16.28370475769043,99.56221008300781,-12.579591751098633,136.92459106445312,-11.301322937011719,126.63629150390625,-6.845304489135742,113.09807586669922,-4.8905863761901855,92.72264099121094,-5.327746391296387,81.09610748291016,-4.980414867401123,130.44680786132812,-4.31664514541626,97.40585327148438,-3.7462265491485596,106.14922332763672,-6.582303524017334,108.74290466308594,-1.746902346611023,112.38014221191406,0.18347135186195374,130.8934783935547
.\wav-Data\Blues\Blues\American Beauty.wav,262.5712471655329,0.2599509060382843,0.09418001025915146,0.15394440293312073,0.007429372053593397,720.1586946080876,83834.71702609472,745.4090801818088,100555.24335784317,1166.269812759749,415492.53037509124,0.045378680696790165,0.0006265113627007424,-1.2470662795749377e-06,0.024055738002061844,-2.525981471990235e-05,0.0023848628625273705,143.5546875,-242.23265075683594,6777.2880859375,170.3295135498047,2061.558349609375,0.08125683665275574,349.9520263671875,4.396108627319336,200.7322998046875,1.990813136100769,150.8517608642578,-12.894168853759766,145.4740753173828,-8.631022453308105,127.67805480957031,-6.326981067657471,109.09700012207031,-11.436838150024414,104.90369415283203,-13.33090591430664,157.52354431152344,-10.293911933898926,123.68219757080078,-5.779542446136475,101.11064147949219,-3.599518060684204,106.59980773925781,-4.656993865966797,91.8978271484375,-4.635680198669434,113.90404510498047,-5.033993721008301,107.76798248291016,-2.7092678546905518,85.05160522460938,1.61089289188385,82.63907623291016,-0.0006106456858105958,91.10877990722656,-6.630908489227295,135.9887237548828
.\wav-Data\Blues\Blues\Be Thena a Concert Waltz.wav,57.01659863945578,0.2356833517551422,0.09837828576564789,0.0899079367518425,0.0020808973349630833,707.8664643028673,61181.95477031553,753.4077652493565,77035.08020773124,1147.8749129205262,244005.22255993102,0.044010522699511403,0.0012405225620440376,-1.894138677016599e-06,0.009284870699048042,9.804950423131231e-06,0.000250049663009122,117.45383522727273,-325.5205078125,8245.1728515625,157.74819946289062,2610.2109375,-8.519682884216309,229.6346893310547,14.976540565490723,217.90560913085938,6.215641498565674,143.5240478515625,-12.559837341308594,132.43556213378906,-5.436897277832031,103.45808410644531,-7.994387149810791,131.85076904296875,-13.182973861694336,216.76573181152344,-11.585040092468262,170.2256622314453,-9.708724975585938,133.45431518554688,-12.253104209899902,109.81584930419922,-11.202035903930664,105.53982543945312,-6.545888423919678,69.59163665771484,-1.5220565795898438,94.76392364501953,1.0936037302017212,103.60335540771484,0.23838065564632416,132.5453643798828,-0.5199394822120667,102.37908172607422,-0.25838372111320496,166.79458618164062,-5.16913366317749,142.24267578125
.\wav-Data\Blues\Blues\Bethena.wav,380.9581859410431,0.258210152387619,0.08966216444969177,0.09017430245876312,0.003749628085643053,596.594536182743,34772.36300428577,575.0769900131141,67360.07215276874,960.1797935665799,194075.2793701162,0.04176145400019809,0.0005871804412886745,-1.2780670886058942e-06,0.010510913096368313,-8.859572517394554e-06,0.00031426624627783895,117.45383522727273,-308.47991943359375,5522.36083984375,173.5210418701172,2312.7021484375,18.467071533203125,424.7706604003906,-4.034101486206055,99.43619537353516,5.570298671722412,92.07197570800781,-6.944492816925049,100.67298889160156,-9.20533275604248,67.33511352539062,-7.373774528503418,66.66697692871094,-13.084169387817383,83.06587982177734,-15.741551399230957,108.79248809814453,-12.090805053710938,105.0191879272461,-7.4059271812438965,78.87699127197266,-5.206151485443115,78.72509765625,-4.578398704528809,75.38172149658203,-2.6993649005889893,82.32711029052734,-2.545339345932007,78.780029296875,-3.7166130542755127,75.13658142089844,-2.3751838207244873,77.94889068603516,-1.5431021451950073,88.95183563232422,-3.5697062015533447,111.17304992675781
.\wav-Data\Blues\Blues\Boogie Woogie Santa.wav,168.15891156462584,0.3542724549770355,0.08798574656248093,0.11313852667808533,0.003577971598133445,604.2362972051021,58008.429511109156,707.4173584613415,122782.88625887237,1108.5719886873533,339007.44716102723,0.03567938440563302,0.0014563217784864073,-1.3807297136736452e-06,0.012791269458830357,-3.25139808410313e-05,0.001085013383999467,172.265625,-266.9636535644531,6604.5703125,188.95167541503906,2931.8525390625,3.5354652404785156,331.9281921386719,3.1447014808654785,117.72038269042969,14.711000442504883,111.31209564208984,-4.343164443969727,81.28156280517578,-1.2889589071273804,52.64389419555664,2.715312957763672,57.22578430175781,-4.417031764984131,51.28728485107422,-6.595459461212158,77.76288604736328,-5.419426918029785,74.1379623413086,-5.74232292175293,48.307376861572266,-4.533482551574707,76.71208190917969,-3.0280940532684326,50.0362663269043,-2.8327667713165283,54.36173629760742,-5.062441825866699,78.90202331542969,-6.435569763183594,51.695404052734375,-4.895870208740234,83.698486328125,-2.6847898960113525,69.01841735839844,-3.5181236267089844,102.16890716552734
.\wav-Data\Blues\Blues\Breathing.wav,264.2895238095238,0.2474852055311203,0.0928049087524414,0.049911241978406906,0.0015666292747482657,649.5867495882761,32479.48076490938,621.1485394961045,51629.59507087287,999.0012068263803,148504.45952988518,0.04490222878964245,0.00041084758663724236,-1.1351221473887563e-06,0.003612921107560396,-1.0785064432639047e-06,0.00012739018711727113,107.666015625,-364.50213623046875,4979.35107421875,145.8911590576172,1654.71630859375,17.88722038269043,404.3045654296875,1.367547869682312,118.66374969482422,2.968907117843628,107.76447296142578,-10.95837116241455,138.48419189453125,-12.717185020446777,102.66844940185547,-11.61076831817627,98.45068359375,-14.31615924835205,125.22676086425781,-12.591376304626465,144.53489685058594,-9.778401374816895,128.35195922851562,-8.182906150817871,94.6650619506836,-6.021009922027588,90.461181640625,-5.00989294052124,100.811279296875,-4.132392406463623,130.27001953125,-4.013640880584717,123.92581176757812,-4.614144325256348,101.40882110595703,-3.4829893112182617,92.24322509765625,-2.0095062255859375,89.9234848022461,-4.062954902648926,84.39868927001953
.\wav-Data\Blues\Blues\Broadway Rag-A Classic.wav,197.16063492063492,0.2679419219493866,0.09014792740345001,0.11187776923179626,0.001837894320487976,711.5786805025081,112313.11081674477,708.7669312525991,114971.56723396173,1200.1210755803256,614459.4706869314,0.046270973324158034,0.0011061783681747305,-8.595573035563575e-07,0.011319088749587536,4.5563345338450745e-05,0.0008536026580259204,95.703125,-287.9576110839844,7233.603515625,203.8563995361328,2622.209716796875,-17.56060028076172,271.3210754394531,7.348626136779785,143.95481872558594,10.682461738586426,133.97161865234375,-13.71557331085205,96.47647857666016,-4.855673313140869,79.35456085205078,-6.56658935546875,90.22913360595703,-12.97301959991455,90.37464904785156,-12.952547073364258,74.71884155273438,-9.247503280639648,139.79603576660156,-4.861665725708008,121.20394897460938,-2.8762214183807373,107.08694458007812,-2.7996721267700195,69.735595703125,-1.5543218851089478,86.39686584472656,-2.3904316425323486,82.71882629394531,-4.3599066734313965,80.75093841552734,-1.1137439012527466,69.87850189208984,2.024528980255127,83.26206970214844,-1.1926430463790894,92.12602233886719
.\wav-Data\Blues\Blues\Cascades.wav,167.18367346938774,0.26653462648391724,0.09492356330156326,0.13013358414173126,0.004651058465242386,752.261498362897,36454.34774236177,805.728095439384,57972.81345500365,1188.89685663775,144042.03395700187,0.046602142931537284,0.00035306137458115396,-1.198844870486937e-06,0.0164010189473629,2.3391326067212503e-06,0.0015628485707566142,198.76802884615384,-254.10842895507812,7428.87158203125,176.49777221679688,1827.2008056640625,-10.666031837463379,290.02655029296875,9.886969566345215,237.0787811279297,-2.7120614051818848,139.88563537597656,-14.968891143798828,145.17005920410156,-9.84749698638916,144.830078125,-8.517824172973633,101.95597839355469,-13.224987983703613,97.31049346923828,-11.996171951293945,127.65274047851562,-7.846673965454102,122.36654663085938,-5.770950794219971,94.0438461303711,-3.984039306640625,90.44662475585938,-5.939042568206787,84.28167724609375,-4.3240251541137695,91.59896087646484,-2.3326148986816406,88.2439956665039,-1.6538043022155762,80.87239837646484,-1.4416160583496094,83.27676391601562,-0.1072397455573082,107.4651107788086,-0.3866061866283417,141.19581604003906
.\wav-Data\Blues\Blues\Chicago Breakdown.wav,187.29215419501134,0.3350309133529663,0.09187476336956024,0.11529923230409622,0.0014033840270712972,591.9906813282767,19950.72455752199,630.852044051879,29064.361390131966,1032.7822843064337,84963.90446297945,0.034598300754617575,0.0002544199258951984,-8.546418825972069e-07,0.011386600323021412,8.797950613370631e-06,0.000902222644072026,161.4990234375,-267.9770202636719,3804.8828125,218.5329132080078,1568.6624755859375,-11.739813804626465,175.01307678222656,3.1041648387908936,95.91957092285156,16.539602279663086,92.6976089477539,-10.50681209564209,66.1620101928711,-2.1359033584594727,48.98735427856445,0.3481959104537964,66.8812255859375,-8.524251937866211,88.13626098632812,-10.313677787780762,109.37633514404297,-8.23523235321045,107.70728302001953,-4.80127477645874,64.78910827636719,-2.7287802696228027,58.22132110595703,-4.046755790710449,48.403594970703125,-4.936115264892578,58.91959762573242,-5.224295139312744,50.699642181396484,-5.615847110748291,48.56432342529297,-3.005297899246216,49.76424026489258,0.20838698744773865,58.67551803588867,-1.8370460271835327,71.11028289794922
